lstm_units1,lstm_units2,num_heads,ff_dim,res_filters,kernel_size,res_filters_2,kernel_size_2,dense_units,dropout,lr,weight_decay,score
96,48,4,256,64,5,32,5,128,0.2,0.0009923244326767518,1e-05,20.419477462768555
96,32,4,256,128,3,64,3,64,0.2,0.008454090917154992,0.0001,19.109130859375
64,32,8,256,32,5,128,3,32,0.2,0.0009553859257850876,1e-05,15.930694580078125
128,64,8,128,64,3,32,5,32,0.2,0.00021658484307977033,1e-06,15.059798240661621
96,48,4,128,64,5,32,5,64,0.30000000000000004,0.0005668473081877774,1e-05,14.860320091247559
128,32,8,128,64,3,128,5,64,0.2,0.005731755650075147,0.0001,17.806650161743164
128,48,4,256,64,5,32,5,128,0.30000000000000004,0.0005023417731597384,1e-05,16.013090133666992
96,64,4,128,64,3,128,3,128,0.2,0.0006844993504801636,1e-06,18.59413719177246
96,48,4,256,64,5,32,5,64,0.2,0.00442495720919059,1e-06,21.90396499633789
96,64,4,64,128,5,32,3,128,0.2,0.0007268749912840059,1e-06,15.520835876464844
96,48,4,128,128,3,64,5,128,0.4,0.004662173581831988,1e-05,17.30036163330078
128,64,2,64,64,5,32,5,64,0.4,0.0004258884110483081,1e-05,15.72392749786377
64,64,4,256,64,5,128,5,64,0.2,0.0009428270474423584,1e-05,16.82819175720215
96,48,4,128,64,5,128,3,64,0.2,0.00024375586165138743,1e-05,15.436470985412598
64,48,4,256,64,3,128,5,32,0.2,0.0013370109815373046,1e-05,16.84256935119629
96,32,2,64,32,3,64,3,128,0.2,0.003768592083025955,1e-06,16.411548614501953
128,48,4,256,32,5,64,3,64,0.4,0.008159739196240003,1e-06,15.984415054321289
128,48,8,256,128,3,128,3,32,0.4,0.004689451455948989,1e-06,16.16132164001465
64,32,2,256,128,5,32,3,64,0.4,0.0027667339170777613,1e-05,15.177721977233887
64,48,8,64,64,5,64,3,64,0.2,0.0017825900024172885,1e-06,18.657495498657227
